tconst	averageRating	numVotes
tt0002022	6.0	15
tt0002026	4.6	18
tt0002029	6.0	79
tt0002031	4.9	25
tt0002033	5.3	49
tt0002034	5.5	80
tt0002041	4.8	74
tt0002045	4.4	100
tt0002046	4.5	15
tt0002054	5.9	268
tt0002056	6.6	276
tt0002064	5.1	97
tt0002065	6.4	66
tt0002066	3.9	106
tt0002068	5.2	55
tt0002070	5.0	60
tt0002071	4.1	21
tt0002078	5.4	73
tt0002082	6.0	438
tt0002083	6.1	374
tt0002093	5.2	44
tt0002095	5.3	40
tt0002096	4.6	21
tt0002097	4.2	39
tt0002098	6.0	166
tt0002101	5.1	662
tt0002107	4.8	27
tt0002113	6.8	1340
tt0002114	4.7	22
tt0002121	5.2	52
tt0002122	6.2	355
tt0002124	5.1	421
tt0002126	5.8	96
tt0002130	7.0	3989
tt0002132	5.7	26
tt0002133	5.7	244
tt0002136	5.7	126
tt0002139	5.4	26
tt0002143	6.0	928
tt0002144	5.7	22
tt0002145	8.9	15
tt0002151	5.0	36
tt0002152	6.6	11
tt0002153	5.9	89
tt0002159	4.5	53
tt0002160	6.3	157
tt0002162	4.7	95
tt0002167	4.3	29
tt0002172	5.2	38
tt0002176	5.8	354
tt0002177	6.0	101
tt0002179	3.6	46
tt0002181	6.1	284
tt0002186	6.5	159
tt0002190	6.1	448
tt0002196	4.7	24
tt0002197	5.5	344
tt0002198	6.2	32
tt0002199	5.9	696
tt0002200	6.1	104
tt0002202	4.6	19
tt0002203	4.9	73
tt0002206	5.5	24
tt0002208	6.7	1373
tt0002212	5.9	47
tt0002214	6.0	52
tt0002216	5.8	51
tt0002220	4.2	48
tt0002221	6.7	555
tt0002224	5.1	178
tt0002226	5.9	96
tt0002230	6.4	115
tt0002232	5.3	77
tt0002233	4.6	164
tt0002234	8.7	27
tt0002253	5.2	26
tt0002255	4.5	65
tt0002259	5.2	19
tt0002260	6.4	1465
tt0002261	6.1	40
tt0002262	5.4	14
tt0002266	7.6	17
tt0002268	5.1	17
tt0002273	5.3	47
tt0002277	6.7	41
tt0002278	5.2	52
tt0002280	4.9	62
tt0002281	6.1	423
tt0002282	6.1	74
tt0002290	5.2	76
tt0002293	4.3	21
tt0002295	7.4	16
tt0002300	6.2	21
tt0002302	6.0	82
tt0002303	5.6	223
tt0002305	7.8	34
tt0002309	8.6	23
tt0002318	5.9	72
tt0002320	3.7	23
tt0002325	5.6	12
tt0002329	5.0	39
tt0002330	4.9	24
tt0002332	5.1	49
tt0002337	5.2	18
tt0002340	5.7	64
tt0002342	5.5	132
tt0002349	5.7	27
tt0002350	6.4	383
tt0002354	6.1	220
tt0002355	5.8	84
tt0002357	6.0	288
tt0002369	6.2	74
tt0002370	5.6	19
tt0002371	6.1	27
tt0002374	6.2	20
tt0002375	5.6	15
tt0002380	5.5	30
tt0002381	6.6	2649
tt0002382	6.3	96
tt0002386	5.8	166
tt0002387	4.5	61
tt0002391	6.3	976
tt0002392	6.0	16
tt0002395	4.9	15
tt0002398	5.2	65
tt0002399	4.3	29
tt0002400	5.7	277
tt0002402	7.7	9
tt0002405	5.1	47
tt0002406	4.6	29
tt0002408	6.1	349
tt0002409	6.7	22
tt0002415	5.8	672
tt0002421	6.0	130
